domain,path,mean_luma,std_luma,mean_saturation,std_saturation,mean_gradient,p95_gradient,mean_dark_channel,std_dark_channel,low_energy,mid_energy,high_energy
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0197_0.8_0.16.jpg,0.4142775535583496,0.2864263653755188,0.05291498824954033,0.05925050750374794,0.03480718657374382,0.14686518907546997,0.3120501935482025,0.2376607358455658,0.9902179837226868,0.0077787525951862335,0.0020031605381518602
SOTS,G:\My Drive\ComputerVision\data\sots_haze\1744_0.85_0.08.jpg,0.3323420286178589,0.2813919484615326,0.12807351350784302,0.12891097366809845,0.05271734297275543,0.20488035678863525,0.20857757329940796,0.23111049830913544,0.9842343330383301,0.012122659012675285,0.0036428116727620363
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0062_0.9_0.2.jpg,0.5721132755279541,0.3453657627105713,0.07606995105743408,0.06721704453229904,0.03372610732913017,0.1329095959663391,0.4629799425601959,0.3148670196533203,0.9921595454216003,0.006167869083583355,0.0016725310124456882
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0185_1_0.16.jpg,0.49662768840789795,0.33022356033325195,0.04127077758312225,0.040551744401454926,0.022964749485254288,0.07977928221225739,0.42370498180389404,0.3146921396255493,0.9947056770324707,0.00409453921020031,0.0011997070396319032
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0071_0.8_0.2.jpg,0.44646719098091125,0.31106114387512207,0.09171661734580994,0.08322431147098541,0.05511483550071716,0.23916488885879517,0.3232320249080658,0.25682151317596436,0.9888836145401001,0.008785066194832325,0.0023314577993005514
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0090_0.85_0.12.jpg,0.5865911245346069,0.15556706488132477,0.06595318019390106,0.06165957450866699,0.07587970793247223,0.297029584646225,0.4294813871383667,0.15528960525989532,0.9873912930488586,0.0096919946372509,0.0029166543390601873
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0390_0.9_0.12.jpg,0.4097830057144165,0.2972666025161743,0.13938918709754944,0.13375207781791687,0.06997528672218323,0.2693853974342346,0.24664439260959625,0.20861764252185822,0.9816896319389343,0.013378488831222057,0.004931897856295109
SOTS,G:\My Drive\ComputerVision\data\sots_haze\0258_0.8_0.2.jpg,0.40367719531059265,0.2973107099533081,0.021414831280708313,0.044184502214193344,0.02327417954802513,0.09413478523492813,0.3420874774456024,0.27093830704689026,0.9922187328338623,0.0063291750848293304,0.0014519297983497381
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\haze-004.jpg,0.3418232202529907,0.3520299196243286,0.09368498623371124,0.09425294399261475,0.015254214406013489,0.03965479135513306,0.2648349106311798,0.3068080544471741,0.992408037185669,0.005958028137683868,0.001634040498174727
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\mist-046.jpg,0.2675459086894989,0.2589648962020874,0.0654059424996376,0.08304613828659058,0.01609441637992859,0.042737506330013275,0.2129378765821457,0.22528669238090515,0.9910398125648499,0.007153179030865431,0.0018070755759254098
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\foggy-042.jpg,0.4214121997356415,0.31755244731903076,0.035304173827171326,0.06845638155937195,0.020814664661884308,0.05518512800335884,0.3558633625507355,0.2997302711009979,0.993765115737915,0.004932326264679432,0.0013025846565142274
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\foggy-098.jpg,0.4337254464626312,0.41403135657310486,0.01657196134328842,0.05224988982081413,0.019365761429071426,0.0831877812743187,0.3721921145915985,0.3980999290943146,0.992549479007721,0.005775793921202421,0.0016746916808187962
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\foggy-037.jpg,0.43054628372192383,0.38858187198638916,0.01896018348634243,0.03663124516606331,0.018171556293964386,0.0593411847949028,0.376334011554718,0.36905038356781006,0.9937282800674438,0.004890284966677427,0.0013813908444717526
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\mist-067.jpg,0.33017268776893616,0.3027682304382324,0.042050644755363464,0.05398992821574211,0.01734655536711216,0.037276387214660645,0.2780820429325104,0.28100982308387756,0.9937987327575684,0.004799054004251957,0.0014021361712366343
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\haze-106.jpg,0.3417647182941437,0.26616373658180237,0.019978176802396774,0.025456346571445465,0.02874714881181717,0.12150182574987411,0.2803226709365845,0.24314692616462708,0.9925685524940491,0.005630692467093468,0.00180062314029783
DAWN,G:\My Drive\ComputerVision\data\DAWN\Fog\haze-022.jpg,0.1847127079963684,0.18979233503341675,0.0935097485780716,0.11644044518470764,0.027970680966973305,0.09273602068424225,0.13790073990821838,0.14450830221176147,0.9952977895736694,0.0036292581353336573,0.0010731312213465571
